ID
7UP1
A0AQF9
A0JQ60
A0JQ60
A1A6R5
A1Z858
A1Z858
A1Z8F4
A1Z8F4
A1Z913
A1ZA01
A1ZB05
A1ZBV6
A2VEF7
A4IJ65
A4IJ80
A4UZ51
A4V1Y6
A4V1Y7
A4V304
A4V304
A4V334
A4VCK2
A7VJJ6
A8DY91
A8DYS7
A8DYZ8
A8DYZ8
A8JUV3
A8JUY5
A8VEM3
A8WDW9
A8WHE9
A8WHE9
A8WHL0
A9YGG0
A9YHI4
A9YIK2
A9YIK2
A9YIK4
A9YIK4
A9YIK9
A9YIK9
ABDA
ABDA
ABDB
ABDB
ABRU
ADF1
ADF1
AEF1
AEF1
AL
AMOS
ANTP
ANTP
APTE
APTE
ARA
ARA
ARNT
AST3
AST4
AST5
AST8
ATO
AWH
B3DN74
B4YW46
B4YXM1
B6IDR1
B6VQA1
B7Z003
B7Z056
B7Z0C4
B7Z0K0
B7Z0S3
B7Z0S4
B7Z0U8
B7Z0Y0
BAB1
BAB1
NA
BARH1
BARH2
BCD
BCD
BCD
BOWEL
BRC1
BRC1
BRC4
BSH
BTD
BYN
C0LRF2
C0LRG8
C0LRH3
C0LRH4
C0LRJ9
C0LRK7
C0LRL8
C0LRM0
C0LRM1
C0MK07
C4JC86
CAD
CAD
CAD
CAUP
CEBP
CEBP
CF1A
CF2
CF2
CF2
CIC
CI
CLOCK
CREBA
CROC
CUT
CYCL
DA
DEAF1
DEI
DFD
DFD
DICH
DISC
DLL
DORS
DORS
DPN
DRI
DSX
E74EA
E74EB
E75BA
E78C
EGON
ELF1
ELG
EMS
EMS
ESCA
ESM3
ESM5
ESM5
ESM7
ESM8
ESM8
ESMB
ESMC
ESMD
ETS4
EVE
EVE
EXD
EXD
FBpp0070252
FBpp0070255
FBpp0070256
FBpp0070707
FBpp0070708
FBpp0072285
FBpp0073013
FBpp0074854
FBpp0074966
FBpp0075771
FBpp0077189
FBpp0078046
FBpp0079883
FBpp0079883
FBpp0080558
FBpp0081160
FBpp0081160
FBpp0081165
FBpp0081165
FBpp0081166
FBpp0081166
FBpp0081167
FBpp0081167
FBpp0081194
FBpp0081257
FBpp0081730
FBpp0081731
FBpp0081733
FBpp0082670
FBpp0082794
FBpp0082794
FBpp0082795
FBpp0082795
FBpp0082796
FBpp0082796
FBpp0082797
FBpp0082797
FBpp0082828
FBpp0082828
NA
FBpp0083863
FBpp0085395
FBpp0085395
FBpp0085446
FBpp0087942
FBpp0088300
FBpp0088334
FBpp0088335
FBpp0088336
FBpp0088361
FBpp0088378
FBpp0088591
FBpp0088657
FBpp0089114
FBpp0089155
FBpp0089155
FBpp0099631
FBpp0099632
FBpp0099878
FBpp0099879
FBpp0100052
FBpp0110069
FBpp0288983
FBpp0289432
FBpp0289488
FBpp0289659
FBpp0289731
FBpp0289731
FBpp0289765
FBpp0289766
FBpp0289767
FBpp0289768
FBpp0289778
FBpp0289778
FBpp0290559
FBpp0290758
FBpp0290883
FBpp0290923
FBpp0291168
FD2
FKH
NA
NA
FTZ
FTZ
GAGA
GFI1
GIANT
GIANT
GIANT
GLAS
GLIS2
GSC
HAIR
HEY
