"","x"
"1","FBgn0000099"
"2","FBgn0000413"
"3","FBgn0000462"
"4","FBgn0000472"
"5","FBgn0001981"
"6","FBgn0003715"
"7","FBgn0003986"
"8","FBgn0005630"
"9","FBgn0008649"
"10","FBgn0015014"
"11","FBgn0015542"
"12","FBgn0029775"
"13","FBgn0030532"
"14","FBgn0033182"
"15","FBgn0034810"
"16","FBgn0035454"
"17","FBgn0037735"
"18","FBgn0039411"
"19","FBgn0039905"
"20","FBgn0042650"
"21","FBgn0050420"
"22","FBgn0051782"
"23","FBgn0052830"
"24","FBgn0053980"
"25","FBgn0250756"
